lat,long,mag,depth
 Latitude , Longitude , Magnitude , Depth/km 
35.521,-96.782,4.1,3.1
35.487,-96.85,4.0,3.3
35.5275,-96.7918,5.0,2.7
35.473,-96.869,4.0,3.1
35.496,-96.838,4.1,5.0
35.534,-96.7801,4.0,0.1
35.5501,-96.7579,5.7,7.5
35.5525,-96.7387,5.0,6.2
35.525,-97.386,4.5,5.0
35.2196,-97.3262,4.3,4.8
35.559,-97.241,4.0,3.2
35.5875,-96.7445,4.1,3.7
